Sexo;Provincias;Tasas;Periodo;Total
Ambos sexos;02 Albacete;Tasa de paro de la población;2013T3;30,53
Ambos sexos;02 Albacete;Tasa de paro de la población;2013T2;30,59
Ambos sexos;02 Albacete;Tasa de paro de la población;2013T1;33,83
Ambos sexos;02 Albacete;Tasa de paro de la población;2012T4;33,94
Ambos sexos;02 Albacete;Tasa de paro de la población;2012T3;32,17
Ambos sexos;02 Albacete;Tasa de paro de la población;2012T2;32,36
Ambos sexos;02 Albacete;Tasa de paro de la población;2012T1;29,20
Ambos sexos;02 Albacete;Tasa de paro de la población;2011T4;25,40
Ambos sexos;02 Albacete;Tasa de paro de la población;2011T3;25,74
Ambos sexos;02 Albacete;Tasa de paro de la población;2011T2;24,41
Ambos sexos;02 Albacete;Tasa de paro de la población;2011T1;23,31
Ambos sexos;02 Albacete;Tasa de paro de la población;2010T4;21,25
Ambos sexos;02 Albacete;Tasa de paro de la población;2010T3;22,20
Ambos sexos;02 Albacete;Tasa de paro de la población;2010T2;24,06
Ambos sexos;02 Albacete;Tasa de paro de la población;2010T1;23,15
Ambos sexos;02 Albacete;Tasa de paro de la población;2009T4;21,46
Ambos sexos;02 Albacete;Tasa de paro de la población;2009T3;19,17
Ambos sexos;02 Albacete;Tasa de paro de la población;2009T2;19,98
Ambos sexos;02 Albacete;Tasa de paro de la población;2009T1;18,47
Ambos sexos;02 Albacete;Tasa de paro de la población;2008T4;17,00
Ambos sexos;02 Albacete;Tasa de paro de la población;2008T3;11,47
Ambos sexos;02 Albacete;Tasa de paro de la población;2008T2;10,37
Ambos sexos;02 Albacete;Tasa de paro de la población;2008T1;9,95
Ambos sexos;02 Albacete;Tasa de paro de la población;2007T4;10,54
Ambos sexos;02 Albacete;Tasa de paro de la población;2007T3;7,66
Ambos sexos;02 Albacete;Tasa de paro de la población;2007T2;9,07
Ambos sexos;02 Albacete;Tasa de paro de la población;2007T1;9,38
Ambos sexos;02 Albacete;Tasa de paro de la población;2006T4;8,22
Ambos sexos;02 Albacete;Tasa de paro de la población;2006T3;11,76
Ambos sexos;02 Albacete;Tasa de paro de la población;2006T2;10,80
Ambos sexos;02 Albacete;Tasa de paro de la población;2006T1;9,28
Ambos sexos;02 Albacete;Tasa de paro de la población;2005T4;10,78
Ambos sexos;02 Albacete;Tasa de paro de la población;2005T3;10,54
Ambos sexos;02 Albacete;Tasa de paro de la población;2005T2;7,20
Ambos sexos;02 Albacete;Tasa de paro de la población;2005T1;10,84
Ambos sexos;02 Albacete;Tasa de paro de la población;2004T4;9,86
Ambos sexos;02 Albacete;Tasa de paro de la población;2004T3;9,05
Ambos sexos;02 Albacete;Tasa de paro de la población;2004T2;7,73
Ambos sexos;02 Albacete;Tasa de paro de la población;2004T1;9,38
Ambos sexos;02 Albacete;Tasa de paro de la población;2003T4;7,50
Ambos sexos;02 Albacete;Tasa de paro de la población;2003T3;7,74
Ambos sexos;02 Albacete;Tasa de paro de la población;2003T2;7,51
Ambos sexos;02 Albacete;Tasa de paro de la población;2003T1;8,05
Ambos sexos;02 Albacete;Tasa de paro de la población;2002T4;8,27
Ambos sexos;02 Albacete;Tasa de paro de la población;2002T3;7,46
Ambos sexos;02 Albacete;Tasa de paro de la población;2002T2;5,43
Ambos sexos;02 Albacete;Tasa de paro de la población;2002T1;6,58
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2021T2;17,93
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2021T1;19,17
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2020T4;19,41
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2020T3;19,28
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2020T2;18,41
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2020T1;15,01
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2019T4;15,68
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2019T3;13,57
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2019T2;14,71
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2019T1;15,44
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2018T4;15,63
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2018T3;15,14
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2018T2;15,60
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2018T1;18,30
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2017T4;17,96
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2017T3;16,22
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2017T2;18,48
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2017T1;19,77
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2016T4;18,21
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2016T3;18,61
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2016T2;22,74
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2016T1;23,62
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2015T4;22,96
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2015T3;23,39
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2015T2;24,11
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2015T1;26,42
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2014T4;24,91
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2014T3;24,34
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2014T2;26,08
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2014T1;28,79
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2013T4;29,48
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2013T3;26,87
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2013T2;27,33
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2013T1;29,34
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2012T4;28,20
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2012T3;27,22
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2012T2;27,29
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2012T1;29,39
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2011T4;25,76
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2011T3;23,56
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2011T2;22,73
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2011T1;23,58
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2010T4;24,68
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2010T3;24,80
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2010T2;23,96
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2010T1;23,20
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2009T4;23,36
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2009T3;21,81
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2009T2;21,25
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2009T1;21,43
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2008T4;15,92
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2008T3;13,50
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2008T2;13,57
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2008T1;10,96
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2007T4;11,23
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2007T3;9,46
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2007T2;10,39
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2007T1;10,93
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2006T4;10,42
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2006T3;8,73
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2006T2;8,48
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2006T1;10,86
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2005T4;10,28
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2005T3;8,58
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2005T2;9,38
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2005T1;10,26
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2004T4;10,44
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2004T3;10,60
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2004T2;11,15
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2004T1;10,27
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2003T4;12,05
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2003T3;11,96
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2003T2;12,54
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2003T1;12,80
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2002T4;10,76
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2002T3;10,51
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2002T2;11,47
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2002T1;10,00
Ambos sexos;04 Almería;Tasa de paro de la población;2021T2;22,01
Ambos sexos;04 Almería;Tasa de paro de la población;2021T1;17,14
Ambos sexos;04 Almería;Tasa de paro de la población;2020T4;21,15
Ambos sexos;04 Almería;Tasa de paro de la población;2020T3;26,55
Ambos sexos;04 Almería;Tasa de paro de la población;2020T2;20,21
Ambos sexos;04 Almería;Tasa de paro de la población;2020T1;19,71
Ambos sexos;04 Almería;Tasa de paro de la población;2019T4;18,53
Ambos sexos;04 Almería;Tasa de paro de la población;2019T3;19,75
Ambos sexos;04 Almería;Tasa de paro de la población;2019T2;16,12
Ambos sexos;04 Almería;Tasa de paro de la población;2019T1;16,06
Ambos sexos;04 Almería;Tasa de paro de la población;2018T4;18,77
Ambos sexos;04 Almería;Tasa de paro de la población;2018T3;25,53
Ambos sexos;04 Almería;Tasa de paro de la población;2018T2;22,52
Ambos sexos;04 Almería;Tasa de paro de la población;2018T1;23,49
Ambos sexos;04 Almería;Tasa de paro de la población;2017T4;25,43
Ambos sexos;04 Almería;Tasa de paro de la población;2017T3;27,65
Ambos sexos;04 Almería;Tasa de paro de la población;2017T2;23,03
Ambos sexos;04 Almería;Tasa de paro de la población;2017T1;21,37
Ambos sexos;04 Almería;Tasa de paro de la población;2016T4;24,84
Ambos sexos;04 Almería;Tasa de paro de la población;2016T3;22,65
Ambos sexos;04 Almería;Tasa de paro de la población;2016T2;22,45
Ambos sexos;04 Almería;Tasa de paro de la población;2016T1;24,39
Ambos sexos;04 Almería;Tasa de paro de la población;2015T4;25,13
Ambos sexos;04 Almería;Tasa de paro de la población;2015T3;31,08
Ambos sexos;04 Almería;Tasa de paro de la población;2015T2;29,09
Ambos sexos;04 Almería;Tasa de paro de la población;2015T1;30,66
Ambos sexos;04 Almería;Tasa de paro de la población;2014T4;35,70
Ambos sexos;04 Almería;Tasa de paro de la población;2014T3;37,53
Ambos sexos;04 Almería;Tasa de paro de la población;2014T2;35,81
Ambos sexos;04 Almería;Tasa de paro de la población;2014T1;33,35
Ambos sexos;04 Almería;Tasa de paro de la población;2013T4;35,69
Ambos sexos;04 Almería;Tasa de paro de la población;2013T3;38,16
Ambos sexos;04 Almería;Tasa de paro de la población;2013T2;34,50
Ambos sexos;04 Almería;Tasa de paro de la población;2013T1;35,87
Ambos sexos;04 Almería;Tasa de paro de la población;2012T4;35,19
Ambos sexos;04 Almería;Tasa de paro de la población;2012T3;37,61
Ambos sexos;04 Almería;Tasa de paro de la población;2012T2;34,44
Ambos sexos;04 Almería;Tasa de paro de la población;2012T1;34,02
Ambos sexos;04 Almería;Tasa de paro de la población;2011T4;32,74
Ambos sexos;04 Almería;Tasa de paro de la población;2011T3;34,91
Ambos sexos;04 Almería;Tasa de paro de la población;2011T2;34,84
Ambos sexos;04 Almería;Tasa de paro de la población;2011T1;31,53
Ambos sexos;04 Almería;Tasa de paro de la población;2010T4;26,53
Ambos sexos;04 Almería;Tasa de paro de la población;2010T3;27,23
Ambos sexos;04 Almería;Tasa de paro de la población;2010T2;30,14
Ambos sexos;04 Almería;Tasa de paro de la población;2010T1;28,15
Ambos sexos;04 Almería;Tasa de paro de la población;2009T4;24,57
Ambos sexos;04 Almería;Tasa de paro de la población;2009T3;30,09
Ambos sexos;04 Almería;Tasa de paro de la población;2009T2;26,95
Ambos sexos;04 Almería;Tasa de paro de la población;2009T1;24,68
Ambos sexos;04 Almería;Tasa de paro de la población;2008T4;24,22
Ambos sexos;04 Almería;Tasa de paro de la población;2008T3;21,58
Ambos sexos;04 Almería;Tasa de paro de la población;2008T2;17,55
Ambos sexos;04 Almería;Tasa de paro de la población;2008T1;14,22
Ambos sexos;04 Almería;Tasa de paro de la población;2007T4;10,78
Ambos sexos;04 Almería;Tasa de paro de la población;2007T3;12,15
Ambos sexos;04 Almería;Tasa de paro de la población;2007T2;10,01
Ambos sexos;04 Almería;Tasa de paro de la población;2007T1;12,84
Ambos sexos;04 Almería;Tasa de paro de la población;2006T4;9,26
Ambos sexos;04 Almería;Tasa de paro de la población;2006T3;10,17
Ambos sexos;04 Almería;Tasa de paro de la población;2006T2;9,15
Ambos sexos;04 Almería;Tasa de paro de la población;2006T1;8,48
Ambos sexos;04 Almería;Tasa de paro de la población;2005T4;9,83
Ambos sexos;04 Almería;Tasa de paro de la población;2005T3;8,46
Ambos sexos;04 Almería;Tasa de paro de la población;2005T2;9,73
Ambos sexos;04 Almería;Tasa de paro de la población;2005T1;8,78
Ambos sexos;04 Almería;Tasa de paro de la población;2004T4;9,86
Ambos sexos;04 Almería;Tasa de paro de la población;2004T3;13,58
Ambos sexos;04 Almería;Tasa de paro de la población;2004T2;8,58
Ambos sexos;04 Almería;Tasa de paro de la población;2004T1;7,15
Ambos sexos;04 Almería;Tasa de paro de la población;2003T4;11,68
Ambos sexos;04 Almería;Tasa de paro de la población;2003T3;14,24
Ambos sexos;04 Almería;Tasa de paro de la población;2003T2;8,03
Ambos sexos;04 Almería;Tasa de paro de la población;2003T1;11,23
Ambos sexos;04 Almería;Tasa de paro de la población;2002T4;10,26
Ambos sexos;04 Almería;Tasa de paro de la población;2002T3;14,24
Ambos sexos;04 Almería;Tasa de paro de la población;2002T2;7,69
Ambos sexos;04 Almería;Tasa de paro de la población;2002T1;10,94
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2021T2;10,47
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2021T1;11,31
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2020T4;9,99
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2020T3;8,04
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2020T2;7,81
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2020T1;5,59
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2019T4;7,31
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2019T3;10,23
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2019T2;8,04
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2019T1;7,54
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2018T4;7,39
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2018T3;7,99
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2018T2;10,53
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2018T1;10,54
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2017T4;9,04
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2017T3;10,95
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2017T2;13,05
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2017T1;12,03
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2016T4;11,97
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2016T3;12,16
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2016T2;13,11
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2016T1;10,71
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2015T4;12,21
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2015T3;13,33
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2015T2;15,54
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2015T1;18,97
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2014T4;16,64
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2014T3;16,32
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2014T2;16,77
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2014T1;19,06
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2013T4;18,75
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2013T3;17,06
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2013T2;16,81
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2013T1;17,43
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2012T4;19,47
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2012T3;14,96
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2012T2;15,54
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2012T1;16,32
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2011T4;11,73
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2011T3;10,25
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2011T2;9,04
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2011T1;11,98
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2010T4;11,14
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2010T3;9,60
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2010T2;10,92
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2010T1;13,70
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2009T4;14,74
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2009T3;12,91
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2009T2;9,42
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2009T1;9,90
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2008T4;7,79
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2008T3;4,38
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2008T2;4,50
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2008T1;3,27
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2007T4;4,55
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2007T3;5,05
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2007T2;5,22
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2007T1;6,94
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2006T4;6,15
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2006T3;6,87
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2006T2;7,43
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2006T1;8,71
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2005T4;6,46
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2005T3;8,68
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2005T2;5,50
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2005T1;7,99
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2004T4;9,90
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2004T3;8,69
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2004T2;9,09
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2004T1;9,85
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2003T4;9,49
